rank	name	state	ancestry_lithuanian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Schuylkill County	Pennsylvania	4.3	142,777	143,264	-272	487	71
2	Luzerne County	Pennsylvania	2.7	325,057	326,053	-537	996	141
3	Litchfield County	Connecticut	1.6	184,874	185,000	-312	126	78
4	Lackawanna County	Pennsylvania	1.5	215,516	215,663	-380	147	181
5	Will County	Illinois	1.4	695,903	697,252	-452	1,349	322
6	Hampshire County	Massachusetts	1.2	162,064	161,572	-244	-492	118
7	DuPage County	Illinois	1.1	931,153	924,885	-1,724	-6,268	1,089
7	Worcester County	Massachusetts	1.1	861,461	862,029	-650	568	220
8	Barnstable County	Massachusetts	1.0	228,969	232,411	-27	3,442	228
9	Lake County	Ohio	0.9	232,410	232,023	-193	-387	391
9	Kendall County	Illinois	0.9	132,291	134,867	422	2,576	163
9	Hartford County	Connecticut	0.9	897,932	896,854	-1,566	-1,078	471
9	Tolland County	Connecticut	0.9	149,650	150,293	-138	643	141
10	New Haven County	Connecticut	0.8	863,498	863,700	-1,337	202	552
