rank	name	state	grapi_15_19	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Wayne County	Ohio	20.7	116,840	116,710	-54	-130	81
2	Hardin County	Kentucky	19.9	110,719	111,607	17	888	69
3	Warren County	Ohio	19.5	243,004	246,553	667	3,549	237
4	Platte County	Missouri	19.4	107,100	108,569	382	1,469	100
5	Outagamie County	Wisconsin	19.1	190,832	191,545	127	713	116
6	Shelby County	Alabama	18.8	223,708	226,902	684	3,194	112
7	Arlington County	Virginia	18.7	238,766	232,965	123	-5,801	3,460
8	Paulding County	Georgia	18.6	169,660	173,780	999	4,120	215
9	Weber County	Utah	18.4	262,828	267,066	605	4,238	179
9	Catawba County	North Carolina	18.4	160,747	161,723	137	976	156
9	Williamson County	Tennessee	18.4	249,424	255,735	1,698	6,311	169
9	Boone County	Kentucky	18.4	136,403	137,412	435	1,009	215
10	Moore County	North Carolina	18.3	100,168	102,763	441	2,595	57
10	Fayette County	Georgia	18.3	119,441	120,574	247	1,133	239
