rank	name	state	in_agri_mining	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Grant County	Washington	22.8	99,365	100,297	242	932	14
2	Midland County	Texas	18.8	170,221	167,969	238	-2,252	72
3	Monterey County	California	15.9	438,500	437,325	-535	-1,175	51
4	Tulare County	California	15.6	473,736	477,054	619	3,318	38
5	Yakima County	Washington	15.5	256,533	256,035	-195	-498	23
6	Kings County	California	15.4	152,627	153,443	141	816	43
7	Ector County	Texas	15.2	165,467	161,091	296	-4,376	69
8	Madera County	California	14.9	156,620	159,410	365	2,790	29
9	Kern County	California	14.7	909,997	917,673	762	7,676	44
10	Merced County	California	11.9	281,726	286,461	524	4,735	57
