rank	name	state	race_hispanic	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Webb County	Texas	95.5	267,234	267,945	120	711	31
2	Hidalgo County	Texas	92.3	872,204	880,356	1,423	8,152	216
3	Cameron County	Texas	89.8	421,191	423,029	174	1,838	183
4	Imperial County	California	84.7	179,489	179,851	-213	362	17
5	El Paso County	Texas	82.7	866,093	867,947	436	1,854	331
6	Doña Ana County	New Mexico	68.6	219,899	221,508	338	1,609	22
7	Miami-Dade County	Florida	68.1	2,692,459	2,662,777	-9,308	-29,682	541
8	Tulare County	California	65.1	473,736	477,054	619	3,318	38
9	Yuma County	Arizona	64.1	204,437	206,990	556	2,553	14
9	Nueces County	Texas	64.1	353,090	353,079	-88	-11	162
10	Ector County	Texas	61.6	165,467	161,091	296	-4,376	69
