rank	name	state	units_mobile	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Robeson County	North Carolina	36.9	116,361	116,328	-169	-33	47
2	San Juan County	New Mexico	32.3	121,429	120,993	-232	-436	8
3	Yuma County	Arizona	30.2	204,437	206,990	556	2,553	14
4	Mohave County	Arizona	26.1	214,070	217,692	803	3,622	6
4	Grant County	Washington	26.1	99,365	100,297	242	932	14
5	Livingston Parish	Louisiana	25.4	142,726	145,830	444	3,104	87
6	Bastrop County	Texas	24.1	97,983	102,058	767	4,075	44
7	Highlands County	Florida	23.6	101,222	103,296	-13	2,074	39
8	Wayne County	North Carolina	22.6	117,226	116,835	-107	-391	81
9	Sumter County	South Carolina	22.5	105,417	104,758	-139	-659	61
10	Citrus County	Florida	22.0	154,403	158,083	560	3,680	105
